maize1	maize2	pcc	pcc.pval
Zm00001d034918	Zm00001d012811	-0.1142822590232494	0.6036069852444516
Zm00001d034914	Zm00001d012815	0.26022190427144537	0.2304577588873319
Zm00001d034901	Zm00001d012816	-0.24794790556951798	0.2539829057316434
Zm00001d034896	Zm00001d012817	0.6036645027355533	0.002289109931917123
Zm00001d034890	Zm00001d012820	0.8123558558334446	2.5015633353015844e-6
Zm00001d034886	Zm00001d012823	0.9396140691115852	3.0274434103845905e-11
Zm00001d034885	Zm00001d012827	0.5578085574221052	0.005680216709485466
Zm00001d034876	Zm00001d012831	0.5772943386547691	0.003922516860548018
Zm00001d034871	Zm00001d012834	0.646510048936981	8.582145549427588e-4
Zm00001d034869	Zm00001d012836	0.7285781438978026	8.067908831404281e-5
Zm00001d034867	Zm00001d012838	0.17526574542728598	0.4237738751857797
Zm00001d034862	Zm00001d012840	0.26488993369058006	0.2219007012567236
Zm00001d034857	Zm00001d012845	0.816465934866388	2.0212453395665838e-6
Zm00001d034856	Zm00001d012846	0.7037994831971369	1.787152606138061e-4
Zm00001d034849	Zm00001d012848	0.7468683990015291	4.239793088510256e-5
Zm00001d034844	Zm00001d012850	0.2762184182789437	0.2020196749024176
Zm00001d034842	Zm00001d012851	0.8236250959947222	1.3764945756081953e-6
Zm00001d034841	Zm00001d012853	0.623951693409724	0.0014641588160603295
Zm00001d034835	Zm00001d012856	0.8542199759767103	2.1471336487894816e-7
Zm00001d034833	Zm00001d012858	0.46261581422463927	0.026232993898406814
Zm00001d034830	Zm00001d012859	0.04739938134309682	0.8299521834041019
Zm00001d034827	Zm00001d012860	-0.0113739236585488	0.9589215636816041
Zm00001d034809	Zm00001d012865	-0.0741865344337142	0.7365623122513071
Zm00001d034805	Zm00001d012866	0.9186407274022609	6.306563070569585e-10
Zm00001d034793	Zm00001d012875	0.7408178161073077	5.275820903549152e-5
Zm00001d034790	Zm00001d012878	0.8423910202044911	4.611271955472616e-7
Zm00001d034788	Zm00001d012882	0.5754476553198554	0.004066531340960775
Zm00001d034758	Zm00001d012892	0.8049068766322879	3.634716731437219e-6
Zm00001d034755	Zm00001d012893	0.593259970855399	0.0028465128746633993
Zm00001d034754	Zm00001d012895	0.8069046993233443	3.293303198440537e-6
Zm00001d034752	Zm00001d012896	0.4052876094735583	0.05504054943314428
Zm00001d034745	Zm00001d012899	-0.08937038178421619	0.6850978060488107
Zm00001d034745	Zm00001d012906	-0.06686337993837081	0.7617965829011748
Zm00001d034745	Zm00001d012906	-0.06686337993837081	0.7617965829011748
Zm00001d034740	Zm00001d012909	0.15730899282298158	0.473474168037297
Zm00001d034740	Zm00001d012909	0.15730899282298158	0.473474168037297
