gid	Tissue	Genotype	ReadCount	CPM	FPKM
Zm00001d042315	coleoptile_tip	B73	11	0.2903217715757378	1.3630130120926658
Zm00001d042315	coleoptile_tip	B73xMo17	30	0.8121080189899453	3.8127137041781474
Zm00001d042315	coleoptile_tip	Mo17	56	1.413630601610367	6.636763387842099
Zm00001d042315	ear_v14	B73	148	4.216271858802408	19.794703562452618
Zm00001d042315	ear_v14	B73xMo17	157	4.021866537093668	18.88200252156652
Zm00001d042315	ear_v14	Mo17	140	3.4428215702033564	16.1634815502505
Zm00001d042315	embryo_27DAP	B73	39	2.1626977773583747	10.153510691823355
Zm00001d042315	embryo_27DAP	B73xMo17	69	3.237633267935205	15.200156187489226
Zm00001d042315	embryo_27DAP	Mo17	90	5.617083332597483	26.371283251631375
Zm00001d042315	embryo_27DAP	Mo17xB73	70	3.4573782463899407	16.231822753004415
Zm00001d042315	embryo_imbibedseed	B73	62	1.7472650003560677	8.203122067399379
Zm00001d042315	embryo_imbibedseed	B73xMo17	71	3.0446813378794855	14.29427858159383
Zm00001d042315	embryo_imbibedseed	Mo17	162	4.49975474362425	21.12560912499648
Zm00001d042315	endosperm_14DAP	B73	63	4.125193454274288	19.367105419128112
Zm00001d042315	endosperm_14DAP	B73xMo17	31	2.5695170291053313	12.063460230541462
Zm00001d042315	endosperm_14DAP	Mo17	14	0.8780566382173115	4.122331634823059
Zm00001d042315	endosperm_14DAP	Mo17xB73	35	2.2492388579747438	10.559806844951849
Zm00001d042315	endosperm_27DAP	B73	37	3.4697685850272664	16.289993356935522
Zm00001d042315	endosperm_27DAP	B73xMo17	20	1.8928908356039846	8.886811434760492
Zm00001d042315	endosperm_27DAP	Mo17	6	0.5668561428487433	2.6612964452992642
Zm00001d042315	endosperm_27DAP	Mo17xB73	24	2.997378173911778	14.072197999585814
Zm00001d042315	floret_0DAP	B73	124	5.694540949907182	26.734934037122922
Zm00001d042315	floret_0DAP	B73xMo17	90	5.065941732780015	23.783764003662043
Zm00001d042315	floret_0DAP	Mo17	112	5.081205067904337	23.85542285401097
Zm00001d042315	internode_v12	B73	69	2.6007927332199667	12.210294522159469
Zm00001d042315	internode_v12	B73xMo17	72	2.4210966775792877	11.36665106844736
Zm00001d042315	internode_v12	Mo17	77	2.0655483832412713	9.69741024995902
Zm00001d042315	kernel_14DAP	B73	75	2.8062728777169106	13.174990036229627
Zm00001d042315	kernel_14DAP	B73xMo17	78	3.404584211062395	15.983963432217816
Zm00001d042315	kernel_14DAP	Mo17	56	1.7596914809842508	8.261462352038736
Zm00001d042315	kernel_14DAP	Mo17xB73	46	1.7849048026201644	8.379834754085278
