source	goid	ratioInSample	ratioInPop	pval.adj	gotype	goname
uniprot.plants	GO:0031409	2/13	23/11832	0.007323030879976385	F	pigment binding
uniprot.plants	GO:0009768	2/13	24/11832	0.007323030879976385	P	photosynthesis, light harvesting in photosystem I
uniprot.plants	GO:0016168	2/13	28/11832	0.007323030879976385	F	chlorophyll binding
uniprot.plants	GO:0016262	1/13	2/11832	0.02658548170539093	F	protein N-acetylglucosaminyltransferase activity
uniprot.plants	GO:0010287	2/13	69/11832	0.02658548170539093	C	plastoglobule
uniprot.plants	GO:0004066	1/13	6/11832	0.034797702287808846	F	asparagine synthase (glutamine-hydrolyzing) activity
uniprot.plants	GO:0006529	1/13	6/11832	0.034797702287808846	P	asparagine biosynthetic process
uniprot.plants	GO:0030100	1/13	6/11832	0.034797702287808846	P	regulation of endocytosis
uniprot.plants	GO:0009938	1/13	8/11832	0.034797702287808846	P	negative regulation of gibberellic acid mediated signaling pathway
uniprot.plants	GO:0030628	1/13	8/11832	0.034797702287808846	F	pre-mRNA 3'-splice site binding
uniprot.plants	GO:0036402	1/13	8/11832	0.034797702287808846	F	proteasome-activating ATPase activity
uniprot.plants	GO:0045899	1/13	8/11832	0.034797702287808846	P	positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
uniprot.plants	GO:0089701	1/13	8/11832	0.034797702287808846	C	U2AF
uniprot.plants	GO:0031595	1/13	9/11832	0.034797702287808846	C	nuclear proteasome complex
uniprot.plants	GO:0031597	1/13	9/11832	0.034797702287808846	C	cytosolic proteasome complex
uniprot.plants	GO:0005844	1/13	10/11832	0.03622924046501052	C	polysome
uniprot.plants	GO:0033365	1/13	11/11832	0.03748891702618749	P	protein localization to organelle
uniprot.plants	GO:0008540	1/13	14/11832	0.04336509678286699	C	proteasome regulatory particle, base subcomplex
uniprot.plants	GO:0017025	1/13	15/11832	0.04336509678286699	F	TBP-class protein binding
uniprot.plants	GO:2000377	1/13	15/11832	0.04336509678286699	P	regulation of reactive oxygen species metabolic process
arabidopsis	GO:0009938	1/9	2/9693	0.02969990086493013	P	negative regulation of gibberellic acid mediated signaling pathway
arabidopsis	GO:0016262	1/9	2/9693	0.02969990086493013	F	protein N-acetylglucosaminyltransferase activity
arabidopsis	GO:0048523	1/9	2/9693	0.02969990086493013	P	negative regulation of cellular process
Interproscan5	GO:0008964	2/17	8/20755	6.346715771763071e-4	F	phosphoenolpyruvate carboxylase activity
Interproscan5	GO:0015977	2/17	12/20755	7.465653597051025e-4	P	carbon fixation
Interproscan5	GO:0009765	2/17	32/20755	0.0037045027689636798	P	photosynthesis, light harvesting
Interproscan5	GO:0006099	2/17	46/20755	0.005758667529601321	P	tricarboxylic acid cycle
Interproscan5	GO:0089701	1/17	6/20755	0.03531611300421513	C	U2AF
Interproscan5	GO:0016020	4/17	1009/20755	0.04615828541154572	C	membrane
Interproscan5	GO:0043161	1/17	11/20755	0.04615828541154572	P	proteasome-mediated ubiquitin-dependent protein catabolic process
Interproscan5	GO:0036402	1/17	15/20755	0.048786409879460035	F	proteasome-activating ATPase activity
Interproscan5	GO:0003684	1/17	16/20755	0.048786409879460035	F	damaged DNA binding
Interproscan5	GO:0008536	1/17	17/20755	0.048786409879460035	F	Ran GTPase binding
Interproscan5	GO:0006289	1/17	20/20755	0.048786409879460035	P	nucleotide-excision repair
Interproscan5	GO:0030163	1/17	20/20755	0.048786409879460035	P	protein catabolic process
Interproscan5	GO:0009678	1/17	22/20755	0.049498859465737816	F	hydrogen-translocating pyrophosphatase activity
