"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX646332","Maize 2nd leaf transcriptome at T192","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","31780.36","1","243456912","49178296224","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646331","Maize 2nd leaf trancriptome at T168","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","30656.69","1","235417723","47554380046","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646330","Maize 2nd leaf transcriptome at T156","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","30311.66","1","224336322","45315937044","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646329","Maize 2nd leaf transcriptome at T144","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","35793.36","1","269072123","54352568846","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646328","Maize 2nd leaf transcriptome at T132","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","32951.69","1","238676908","48212735416","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646327","Maize 2nd leaf transcriptome at T120","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","32715.03","1","243642414","49215767628","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646326","Maize 2nd leaf transcriptome at T108","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","28497.59","1","217401796","43915162792","","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646325","Maize 2nd leaf transcriptome at T096","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","36991.74","1","281029167","56767891734","ST-DE02","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646324","Maize 2nd leaf transcriptome at T084","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","29178.85","1","227896258","46035044116","T084","RNA-Seq","TRANSCRIPTOMIC","PolyA"
"SRX646318","Maize Leaf transcriptomes T084-T192","Zea mays subsp. mays","Illumina HiSeq 2000","Academia Sinica","SRP044069","Zea mays subsp. mays strain:White Crystal Transcriptome or Gene expression","SRS654357","","6559.85","1","100051202","10105171402","MLT84192","RNA-Seq","TRANSCRIPTOMIC","PolyA"
