"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX718193","GSM1517650: rep2_FEA4_ChIP; Zea mays; ChIP-Seq","Zea mays","Illumina MiSeq","GEO","SRP048564","Zea mays","SRS714009","","207.54","1","4183552","422538752","","ChIP-Seq","GENOMIC","ChIP"
"SRX718192","GSM1517649: rep2_input; Zea mays; ChIP-Seq","Zea mays","Illumina MiSeq","GEO","SRP048564","Zea mays","SRS714008","","184.48","1","3762023","379964323","","ChIP-Seq","GENOMIC","ChIP"
"SRX718191","GSM1517648: rep1_FEA4_ChIP; Zea mays; ChIP-Seq","Zea mays","Illumina MiSeq","GEO","SRP048564","Zea mays","SRS714007","","159.03","1","3208913","324100213","","ChIP-Seq","GENOMIC","ChIP"
"SRX718190","GSM1517647: rep1_input; Zea mays; ChIP-Seq","Zea mays","Illumina MiSeq","GEO","SRP048564","Zea mays","SRS714006","","148.32","1","3045051","307550151","","ChIP-Seq","GENOMIC","ChIP"
"SRX718189","GSM1517646: fea4_mut_rep3_ear; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP048564","Zea mays","SRS714005","","5934.84","1","44104021","8909012242","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX718188","GSM1517645: fea4_mut_rep2_ear; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP048564","Zea mays","SRS714004","","4205.97","1","31164572","6295243544","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX718187","GSM1517644: fea4_mut_rep1_ear; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP048564","Zea mays","SRS714003","","1836.3","1","13617690","2750773380","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX718186","GSM1517643: wt_rep3_ear; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP048564","Zea mays","SRS714002","","4914.27","1","36565833","7386298266","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX718185","GSM1517642: wt_rep2_ear; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP048564","Zea mays","SRS714001","","3795.71","1","28222249","5700894298","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX718184","GSM1517641: wt_rep1_ear; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP048564","Zea mays","SRS714000","","4301.21","1","31928082","6449472564","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
