"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4072596","GSM3140228: o2 ChIP rep2; Zea mays; ChIP-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290298","","2868.29","1","25580850","5087144060","","ChIP-Seq","GENOMIC","ChIP"
"SRX4072595","GSM3140227: o2 ChIP rep1; Zea mays; ChIP-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290297","","3741.8","1","33169368","6625957933","","ChIP-Seq","GENOMIC","ChIP"
"SRX4072594","GSM3140226: WT ChIP rep2; Zea mays; ChIP-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290296","","3166.01","1","28166278","5615392227","","ChIP-Seq","GENOMIC","ChIP"
"SRX4072593","GSM3140225: WT ChIP rep1; Zea mays; ChIP-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290295","","4296.72","1","38299434","7649992866","","ChIP-Seq","GENOMIC","ChIP"
"SRX4072592","GSM3140224: o2 RNA rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290294","","3639.08","1","30956288","6187089325","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4072591","GSM3140223: o2 RNA rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290293","","3497.03","1","29628718","5922148773","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4072590","GSM3140222: o2 RNA rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290292","","3917.71","1","33397557","6675873191","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4072589","GSM3140221: WT RNA rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290291","","3124","1","26453242","5287421896","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4072588","GSM3140220: WT RNA rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290290","","3334.37","1","28433700","5684009780","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4072587","GSM3140219: WT RNA rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2500","GEO","SRP145462","Opaque-2 regulates a complex gene network associated with cell differentiation and storage function of maize endosperm","SRS3290289","","3332.45","1","28438096","5684068538","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
