"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4545787","Maize BC5F3(B73) Ufo1-1 PacBio sequencing","Zea mays subsp. mays","PacBio RS II","Pennsylvania State University","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3663491","","67126.31","1","8392773","100830357884","Ufo1-1 PacBio","WGS","GENOMIC","RANDOM"
"SRX4476042","GSM3308716: Ufo1_3_pericarp_2_sRNA; Zea mays; ncRNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601143","","1421.79","1","42783418","2139170900","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX4476041","GSM3308715: Ufo1_2_pericarp_2_sRNA; Zea mays; ncRNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601142","","1479.25","1","44460811","2223040550","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX4476040","GSM3308714: Ufo1_1_pericarp_2_sRNA; Zea mays; ncRNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601141","","1197.19","1","35889601","1794480050","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX4476039","GSM3308713: sil_3_pericarp_2_sRNA; Zea mays; ncRNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601140","","1412.63","1","40710059","2035502950","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX4476038","GSM3308712: sil_2_pericarp_2_sRNA; Zea mays; ncRNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601139","","1766.03","1","50540951","2527047550","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX4476037","GSM3308711: sil_1_pericarp_2_sRNA; Zea mays; ncRNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601138","","1593.35","1","45291962","2264598100","","ncRNA-Seq","TRANSCRIPTOMIC","size fractionation"
"SRX4476036","GSM3308710: Ufo1_2_pericarp_1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601137","","1384.17","1","44554024","2227701200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4476035","GSM3308709: Ufo1_1_pericarp_1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601136","","1551.45","1","50499454","2524972700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4476034","GSM3308708: B73_2_pericarp_1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601135","","1659.5","1","53325609","2666280450","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4476033","GSM3308707: B73_1_pericarp_1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP155527","The dominant and poor penetrant phenotypes of the maize mutation Unstable factor for orange1 are caused by DNA methylation changes at a linked transposon","SRS3601134","","1202.66","1","38564517","1928225850","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
