"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX058598","Zea mays, B73 Preemergence tassel RNA-Seq (ZMB_AC)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189307","","355.25","1","19781766","751707108","ZMB_AC","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058600","Zea mays, B73 Postemergence tassel RNA-Seq (ZMB_AE)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189309","","338.13","1","18552700","705002600","ZMB_AE","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058609","Zea mays, B73 Leaves 20-day old seedling - growth chamber RNA-Seq (ZMB_CA)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189321","","692.8","1","32709218","1144822630","ZMB_CA","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058608","Zea mays, B73 Seed 10 days after pollination RNA-Seq (ZMB_AO)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189320","","389.68","1","26418648","924652680","ZMB_AO","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058607","Zea mays, B73 Mature silk RNA-Seq (ZMB_AL)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189319","","283.57","1","18933801","662683035","ZMB_AL","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058606","Zea mays, B73 Pollen RNA-Seq (ZMB_AK)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189318","","429.2","1","27922147","977275145","ZMB_AK","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058605","Zea mays, B73 Ovule RNA-Seq (ZMB_AJ)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189314","","465.49","1","29905169","1046680915","ZMB_AJ","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058604","Zea mays, B73 Whole anthers RNA-Seq (ZMB_AI)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189313","","426.17","1","27012847","945449645","ZMB_AI","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058603","Zea mays, B73 Endosperm 25 days after pollination RNA-Seq (ZMB_AH)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189312","","423.69","1","23574401","942976040","ZMB_AH","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058602","Zea mays, B73 Embryo 25 days after pollination RNA-Seq (ZMB_AG)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189311","","371.1","1","19890604","755842952","ZMB_AG","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058601","Zea mays, B73 Seed 5 days after pollination RNA-Seq (ZMB_AF)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189310","","354.18","1","19173177","728580726","ZMB_AF","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058599","Zea mays, B73 Post-emergence cob RNA-Seq (ZMB_AD)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189308","","324.53","1","18271450","694315100","ZMB_AD","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058597","Zea mays, B73 Pre-emergence cob RNA-Seq (ZMB_AB)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189306","","319.81","1","18335228","696738664","ZMB_AB","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX058596","Zea mays, B73 Leaves 20-day old seedling - field RNA-Seq (ZMB_AA)","Zea mays subsp. mays","Illumina Genome Analyzer II","Michigan State University","SRP006463","Zea mays subsp. mays Transcriptome or Gene expression","SRS189305","","304.5","1","17146213","651556094","ZMB_AA","RNA-Seq","TRANSCRIPTOMIC","cDNA"
