"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX118534","Zea Mays, B73 16DAP_Embryo_R3 RNA-Seq (SK141)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291106","","352.4","1","7285901","546442575","SK141","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118533","Zea Mays, B73 16DAP_Embryo_R2 RNA-Seq (SK140)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291105","","184.69","1","3815078","286130850","SK140","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118532","Zea Mays, B73 16DAP_Embryo_R1 RNA-Seq (SK139)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291104","","275.64","1","5669791","425234325","SK139","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118531","Zea Mays, B73 16DAP_Endosperm_R3 RNA-Seq (SK138)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291103","","290.92","1","6025148","451886100","SK138","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118530","Zea Mays, B73 16DAP_Endosperm_R2 RNA-Seq (SK137)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291102","","269.94","1","5618126","421359450","SK137","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118529","Zea Mays, B73 16DAP_Endosperm_R1 RNA-Seq (SK136)","Zea mays subsp. mays","Illumina Genome Analyzer IIx","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291101","","223.27","1","4626754","347006550","SK136","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118528","Zea Mays, B73 16DAP_Whole seed_R3 RNA-Seq (SK135)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291100","","662.75","1","10044624","1014507024","SK135","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118527","Zea Mays, B73 16DAP_Whole seed_R2 RNA-Seq (SK134)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291099","","436.31","1","6610645","667675145","SK134","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118526","Zea Mays, B73 16DAP_Whole seed_R1 RNA-Seq (SK133)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291098","","696.27","1","10536472","1064183672","SK133","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118525","Zea Mays, B73 14DAP_Endopsperm_R3 RNA-Seq (SK132)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291097","","861.32","1","13077755","1320853255","SK132","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX118524","Zea Mays, B73 14DAP_Endopsperm_R2 RNA-Seq (SK131)","Zea mays subsp. mays","Illumina HiSeq 2000","MSU-BUELL","SRP010680","B73 RNA-Seq Atlas","SRS291096","","856.59","1","12969341","1309903441","SK131","RNA-Seq","TRANSCRIPTOMIC","cDNA"
