"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4550519","GSM3331242: rbm48-umu2 +/+ (WT) Rep4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667688","","2752.61","1","22149432","4429886400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550518","GSM3331241: rbm48-umu2 +/+ (WT) Rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667687","","2102.57","1","16825911","3365182200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550517","GSM3331240: rbm48-umu2 +/+ (WT) Rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667685","","3456.49","1","27800576","5560115200","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550516","GSM3331239: rbm48-umu2 +/+ (WT) Rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667686","","2957.5","1","23906030","4781206000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550515","GSM3331238: rbm48-umu2 -/- Rep4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667684","","2921.26","1","23422258","4684451600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550514","GSM3331237: rbm48-umu2 -/- Rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667683","","2797.57","1","22511609","4502321800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550513","GSM3331236: rbm48-umu2 -/- Rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667682","","2804.37","1","22487118","4497423600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550512","GSM3331235: rbm48-umu2 -/- Rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667679","","2634.23","1","21297734","4259546800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550511","GSM3331234: rbm48-umu1 +/+ (WT) Rep4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667681","","2562.23","1","20439487","4087897400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550510","GSM3331233: rbm48-umu1 +/+ (WT) Rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667680","","3010.65","1","24000237","4800047400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550509","GSM3331232: rbm48-umu1 +/+ (WT) Rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667676","","2527.89","1","20157543","4031508600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550508","GSM3331231: rbm48-umu1 +/+ (WT) Rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667677","","2913.49","1","23158782","4631756400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550507","GSM3331230: rbm48-umu1 -/- Rep4; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667678","","2689.33","1","21426742","4285348400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550506","GSM3331229: rbm48-umu1 -/- Rep3; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667675","","2629.21","1","20991379","4198275800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550505","GSM3331228: rbm48-umu1 -/- Rep2; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667674","","3142.31","1","25031099","5006219800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4550504","GSM3331227: rbm48-umu1 -/- Rep1; Zea mays; RNA-Seq","Zea mays","Illumina HiSeq 2000","GEO","SRP157855","RNA-Seq mapping enabled quantitative analysis of gene expression differences between WT and rbm48 mutants in Zea mays (Maize).","SRS3667673","","2950.73","1","23546809","4709361800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
