SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR2043190	root	B73	con	1	8085432	8085271	161	0	0	0	0	0	0	0	0	0	0	0	0	8085271	0	0	7976762	7569998	5811258	6102674	108509	7057172	0	425102	87724	108509
SRR2043191	root	B73	con	2	22252697	22238576	14121	0	0	0	0	0	0	0	0	0	0	0	0	22238576	0	0	22035730	20993782	16373792	17136479	202846	19628318	0	1109100	256364	202846
SRR2043217	root	B73	con	3	30180272	30161588	18684	0	0	0	0	0	0	0	0	0	0	0	0	30161588	0	0	29904948	28448299	21941187	22987475	256640	26609025	0	1494928	344346	256640
SRR2043219	root	B73	con	4	25459356	25458641	715	0	0	0	0	0	0	0	0	0	0	0	0	25458641	0	0	24970808	23748634	18493221	19381983	487833	22195306	0	1269249	284079	487833
SRR2043220	root	B73	drought	1	12832759	12832437	322	0	0	0	0	0	0	0	0	0	0	0	0	12832437	0	0	12558464	11926464	9029953	9475653	273973	11075746	0	710253	140465	273973
SRR2043226	root	B73	drought	2	19119496	19119098	398	0	0	0	0	0	0	0	0	0	0	0	0	19119098	0	0	18904588	17984777	13781726	14440766	214510	16744508	0	1027065	213204	214510
SRR2043227	root	B73	drought	3	23522007	23508049	13958	0	0	0	0	0	0	0	0	0	0	0	0	23508049	0	0	23308142	22148203	17268716	18114117	199907	20734440	0	1152342	261421	199907
SRR2043228	root	B73	drought	4	23629579	23611029	18550	0	0	0	0	0	0	0	0	0	0	0	0	23611029	0	0	23357689	22231479	14411885	15098888	253340	20736322	0	1231332	263825	253340
SRR2043231	root	Mo17	con	1	25510816	25510323	493	0	0	0	0	0	0	0	0	0	0	0	0	25510323	0	0	24739228	23158703	13192426	13979613	771095	21481907	0	1412868	263928	771095
SRR2043331	root	Mo17	con	2	47712454	47688339	24115	0	0	0	0	0	0	0	0	0	0	0	0	47688339	0	0	46373454	43484231	24710859	26140760	1314885	40400041	0	2577003	507187	1314885
SRR2043332	root	Mo17	con	3	21797918	21777695	20223	0	0	0	0	0	0	0	0	0	0	0	0	21777695	0	0	20975713	19667976	11238837	11901012	801982	18324967	0	1107855	235154	801982
SRR2043336	root	Mo17	con	4	16207101	16199799	7302	0	0	0	0	0	0	0	0	0	0	0	0	16199799	0	0	15784353	14766095	8387266	8899535	415446	13740994	0	848358	176743	415446
SRR2043349	root	Mo17	drought	1	26595536	26580938	14598	0	0	0	0	0	0	0	0	0	0	0	0	26580938	0	0	25813145	24139572	13891494	14738709	767793	22361961	0	1496373	281238	767793
SRR2043361	root	Mo17	drought	2	20519875	20519506	369	0	0	0	0	0	0	0	0	0	0	0	0	20519506	0	0	19937736	18702019	10484649	11093322	581770	17382546	0	1091097	228376	581770
SRR2043375	root	Mo17	drought	3	15943346	15935145	8201	0	0	0	0	0	0	0	0	0	0	0	0	15935145	0	0	15494940	14493239	8151132	8646704	440205	13485460	0	835985	171794	440205
SRR2043376	root	Mo17	drought	4	35003386	34986126	17260	0	0	0	0	0	0	0	0	0	0	0	0	34986126	0	0	33964550	31825979	15011798	15901115	1021576	29523297	0	1922064	380618	1021576
SRR2043377	root	B73xMo17	con	1	20020741	20020368	373	0	0	0	0	0	0	0	0	0	0	0	0	20020368	0	0	19608629	18501625	12459983	13122039	411739	17188314	0	1103725	209586	411739
SRR2043378	root	B73xMo17	con	2	38101382	38100447	935	0	0	0	0	0	0	0	0	0	0	0	0	38100447	0	0	37355617	35317709	23785965	25005521	744830	32902671	0	2000799	414239	744830
SRR2043379	root	B73xMo17	con	3	36301348	36280818	20530	0	0	0	0	0	0	0	0	0	0	0	0	36280818	0	0	35610421	33611197	22788963	23999911	670397	31398387	0	1818935	393875	670397
SRR2043380	root	B73xMo17	con	4	29114503	29099631	14872	0	0	0	0	0	0	0	0	0	0	0	0	29099631	0	0	28441151	26768903	18004243	19004096	658480	24934521	0	1526962	307420	658480
SRR2043381	root	B73xMo17	drought	1	30529098	30515694	13404	0	0	0	0	0	0	0	0	0	0	0	0	30515694	0	0	29863262	28161404	19245158	20274801	652432	26141267	0	1699266	320871	652432
SRR2043382	root	B73xMo17	drought	2	20047868	20047525	343	0	0	0	0	0	0	0	0	0	0	0	0	20047525	0	0	19664857	18553617	12476234	13140241	382668	17207614	0	1135721	210282	382668
SRR2043383	root	B73xMo17	drought	3	15611343	15605203	6140	0	0	0	0	0	0	0	0	0	0	0	0	15605203	0	0	15322783	14435876	9628009	10155223	282420	13424527	0	843768	167581	282420
SRR2043384	root	B73xMo17	drought	4	36086599	36074746	11853	0	0	0	0	0	0	0	0	0	0	0	0	36074746	0	0	35357657	33354891	18733640	19738172	717089	31039610	0	1926513	388768	717089
SRR2043386	root	Mo17xB73	con	1	24528086	24527693	393	0	0	0	0	0	0	0	0	0	0	0	0	24527693	0	0	24079438	22697471	15218957	16045830	448255	21152403	0	1283880	261188	448255
SRR2043387	root	Mo17xB73	con	2	36593846	36572287	21559	0	0	0	0	0	0	0	0	0	0	0	0	36572287	0	0	35878331	33840699	23037503	24274183	693956	31490869	0	1961729	388101	693956
SRR2043388	root	Mo17xB73	con	3	23173809	23163317	10492	0	0	0	0	0	0	0	0	0	0	0	0	23163317	0	0	22364485	21102651	14530991	15304906	798832	19564068	0	1300002	238581	798832
SRR2043389	root	Mo17xB73	con	4	16845158	16839540	5618	0	0	0	0	0	0	0	0	0	0	0	0	16839540	0	0	16548767	15571018	10463490	11047919	290773	14507307	0	886645	177066	290773
SRR2043390	root	Mo17xB73	drought	1	19716300	19705488	10812	0	0	0	0	0	0	0	0	0	0	0	0	19705488	0	0	19345480	18240937	12405069	13072009	360008	16971252	0	1058659	211026	360008
SRR2043391	root	Mo17xB73	drought	2	24501823	24494129	7694	0	0	0	0	0	0	0	0	0	0	0	0	24494129	0	0	24030606	22646226	15205577	16031397	463523	21008527	0	1375662	262037	463523
SRR2043392	root	Mo17xB73	drought	3	10448405	10443093	5312	0	0	0	0	0	0	0	0	0	0	0	0	10443093	0	0	10264265	9685400	6467978	6813148	178828	9049848	0	521430	114122	178828
SRR2043393	root	Mo17xB73	drought	4	30966840	30957204	9636	0	0	0	0	0	0	0	0	0	0	0	0	30957204	0	0	30375824	28650771	16116029	16983741	581380	26590902	0	1728934	330935	581380
