"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX4666362","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161052","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-crown_2 transcriptome","SRS3761284","","2826.1","1","30710217","9274485534","COXWH","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666361","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161050","Brachypodium distachyon Bd1-1 gene expression profiling - 14_dpi_Bd1-1_PMV3 transcriptome","SRS3761282","","5648.91","1","64009596","19330897992","COXYG","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666360","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161051","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-crown_2 transcriptome","SRS3761283","","2635.63","1","29018973","8763729846","COXUW","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666359","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161049","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-crown_4 transcriptome","SRS3761281","","2418.11","1","26155659","7899009018","COXUS","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666358","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161048","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_seedling-leaf_2 transcriptome","SRS3761280","","4273.65","1","46356506","13999664812","COXUX","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666357","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161047","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-flagleaf_3 transcriptome","SRS3761279","","3218.28","1","35110501","10603371302","COXWT","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666356","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161046","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-crown_3 transcriptome","SRS3761278","","3021.43","1","32692510","9873138020","COXWS","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666355","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161045","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-root_3 transcriptome","SRS3761277","","3514.19","1","38296859","11565651418","COXWP","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666354","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161055","Brachypodium distachyon Bd1-1 gene expression profiling - 14_dpi_Bd1-1_Mock2 transcriptome","SRS3761288","","5584.11","1","63108254","19058692708","COXXZ","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666353","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161043","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_mature-flagleaf_2 transcriptome","SRS3761275","","2538.44","1","27759903","8383490706","COXWN","OTHER","TRANSCRIPTOMIC","RT-PCR"
"SRX4666352","Brachypodium distachyon Bd1-1 Gene Atlas Plate 18","Brachypodium distachyon","Illumina NovaSeq 6000","JGI","SRP161042","Brachypodium distachyon Bd1-1 gene expression profiling - Bd1-1_6w-ver_flag-leaf_3 transcriptome","SRS3761274","","2995.2","1","32606765","9847243030","COXWO","OTHER","TRANSCRIPTOMIC","RT-PCR"
