BioSample	Title	tissue	genotype
SAMEA3999209	ENA Crop Plant sample enhanced annotation		nested association mapping founder NC350
SAMEA3999210	ENA Crop Plant sample enhanced annotation		nested association mapping founder NC358
SAMEA3999211	ENA Crop Plant sample enhanced annotation		nested association mapping founder NC358
SAMEA3999212	ENA Crop Plant sample enhanced annotation		nested association mapping founder Oh43
SAMEA3999213	ENA Crop Plant sample enhanced annotation		nested association mapping founder Oh43
SAMEA3999214	ENA Crop Plant sample enhanced annotation		nested association mapping founder Oh7B
SAMEA3999215	ENA Crop Plant sample enhanced annotation		nested association mapping founder Oh7B
SAMEA3999216	ENA Crop Plant sample enhanced annotation		nested association mapping founder P39
SAMEA3999217	ENA Crop Plant sample enhanced annotation		nested association mapping founder P39
SAMEA3999218	ENA Crop Plant sample enhanced annotation		nested association mapping founder Tx303
SAMEA3999219	ENA Crop Plant sample enhanced annotation		nested association mapping founder Tx303
SAMEA3999220	ENA Crop Plant sample enhanced annotation		nested association mapping founder Tzi8
SAMEA3999221	ENA Crop Plant sample enhanced annotation		nested association mapping founder Tzi8
SAMEA3999524	ENA Crop Plant sample enhanced annotation		B73 line
SAMEA3999525	ENA Crop Plant sample enhanced annotation		B73 line
SAMEA3999526	ENA Crop Plant sample enhanced annotation		B73 line
SAMEA3999527	ENA Crop Plant sample enhanced annotation		B73 line
SAMEA3999528	ENA Crop Plant sample enhanced annotation		B97 line
SAMEA3999529	ENA Crop Plant sample enhanced annotation		B97 line
SAMEA3999530	ENA Crop Plant sample enhanced annotation		B97 line
SAMEA3999531	ENA Crop Plant sample enhanced annotation		B97 line
SAMEA3999532	ENA Crop Plant sample enhanced annotation		CML103 line
SAMEA3999533	ENA Crop Plant sample enhanced annotation		CML103 line
SAMEA3999534	ENA Crop Plant sample enhanced annotation		CML103 line
SAMEA3999535	ENA Crop Plant sample enhanced annotation		CML103 line
SAMEA3999536	ENA Crop Plant sample enhanced annotation		CML228 line
SAMEA3999537	ENA Crop Plant sample enhanced annotation		CML228 line
SAMEA3999538	ENA Crop Plant sample enhanced annotation		CML228 line
SAMEA3999539	ENA Crop Plant sample enhanced annotation		CML228 line
SAMEA3999540	ENA Crop Plant sample enhanced annotation		CML277 line
SAMEA3999541	ENA Crop Plant sample enhanced annotation		CML247 line
SAMEA3999542	ENA Crop Plant sample enhanced annotation		CML247 line
SAMEA3999543	ENA Crop Plant sample enhanced annotation		CML247 line
SAMEA3999544	ENA Crop Plant sample enhanced annotation		CML247 line
SAMEA3999545	ENA Crop Plant sample enhanced annotation		CML277 line
SAMEA3999546	ENA Crop Plant sample enhanced annotation		CML277 line
SAMEA3999547	ENA Crop Plant sample enhanced annotation		CML277 line
SAMEA3999548	ENA Crop Plant sample enhanced annotation		CML322 line
SAMEA3999549	ENA Crop Plant sample enhanced annotation		CML322 line
SAMEA3999550	ENA Crop Plant sample enhanced annotation		CML322 line
SAMEA3999551	ENA Crop Plant sample enhanced annotation		CML322 line
SAMEA3999552	ENA Crop Plant sample enhanced annotation		CML333 line
SAMEA3999553	ENA Crop Plant sample enhanced annotation		CML333 line
SAMEA3999554	ENA Crop Plant sample enhanced annotation		CML333 line
SAMEA3999555	ENA Crop Plant sample enhanced annotation		CML333 line
SAMEA3999556	ENA Crop Plant sample enhanced annotation		CML52 line
SAMEA3999557	ENA Crop Plant sample enhanced annotation		CML52 line
SAMEA3999558	ENA Crop Plant sample enhanced annotation		CML52 line
SAMEA3999559	ENA Crop Plant sample enhanced annotation		CML52 line
SAMEA3999560	ENA Crop Plant sample enhanced annotation		CML69 line
SAMEA3999561	ENA Crop Plant sample enhanced annotation		CML69 line
SAMEA3999562	ENA Crop Plant sample enhanced annotation		CML69 line
SAMEA3999563	ENA Crop Plant sample enhanced annotation		CML69 line
SAMEA3999564	ENA Crop Plant sample enhanced annotation		Hp301 line
SAMEA3999565	ENA Crop Plant sample enhanced annotation		Hp301 line
SAMEA3999566	ENA Crop Plant sample enhanced annotation		Hp301 line
SAMEA3999567	ENA Crop Plant sample enhanced annotation		Hp301 line
SAMEA3999568	ENA Crop Plant sample enhanced annotation		IL14H line
SAMEA3999569	ENA Crop Plant sample enhanced annotation		IL14H line
SAMEA3999570	ENA Crop Plant sample enhanced annotation		IL14H line
SAMEA3999571	ENA Crop Plant sample enhanced annotation		IL14H line
SAMEA3999572	ENA Crop Plant sample enhanced annotation		Ki11 line
SAMEA3999573	ENA Crop Plant sample enhanced annotation		Ki11 line
SAMEA3999574	ENA Crop Plant sample enhanced annotation		Ki11 line
SAMEA3999575	ENA Crop Plant sample enhanced annotation		Ki11 line
SAMEA3999576	ENA Crop Plant sample enhanced annotation		Ki3 line
SAMEA3999577	ENA Crop Plant sample enhanced annotation		Ki3 line
SAMEA3999578	ENA Crop Plant sample enhanced annotation		Ki3 line
SAMEA3999579	ENA Crop Plant sample enhanced annotation		Ki3 line
SAMEA3999580	ENA Crop Plant sample enhanced annotation		Ky21 line
SAMEA3999581	ENA Crop Plant sample enhanced annotation		Ky21 line
SAMEA3999582	ENA Crop Plant sample enhanced annotation		Ky21 line
SAMEA3999583	ENA Crop Plant sample enhanced annotation		Ky21 line
SAMEA3999584	ENA Crop Plant sample enhanced annotation		M162W line
SAMEA3999585	ENA Crop Plant sample enhanced annotation		M162W line
SAMEA3999586	ENA Crop Plant sample enhanced annotation		M162W line
SAMEA3999587	ENA Crop Plant sample enhanced annotation		M162W line
SAMEA3999588	ENA Crop Plant sample enhanced annotation		M37W line
SAMEA3999589	ENA Crop Plant sample enhanced annotation		M37W line
SAMEA3999590	ENA Crop Plant sample enhanced annotation		M37W line
SAMEA3999591	ENA Crop Plant sample enhanced annotation		M37W line
SAMEA3999592	ENA Crop Plant sample enhanced annotation		Mo17 line
SAMEA3999593	ENA Crop Plant sample enhanced annotation		Mo17 line
SAMEA3999594	ENA Crop Plant sample enhanced annotation		Mo17 line
SAMEA3999595	ENA Crop Plant sample enhanced annotation		Mo17 line
SAMEA3999596	ENA Crop Plant sample enhanced annotation		Mo18W line
SAMEA3999597	ENA Crop Plant sample enhanced annotation		Mo18W line
SAMEA3999598	ENA Crop Plant sample enhanced annotation		Mo18W line
SAMEA3999599	ENA Crop Plant sample enhanced annotation		Mo18W line
SAMEA3999600	ENA Crop Plant sample enhanced annotation		Ms71 line
SAMEA3999601	ENA Crop Plant sample enhanced annotation		Ms71 line
SAMEA3999602	ENA Crop Plant sample enhanced annotation		Ms71 line
SAMEA3999603	ENA Crop Plant sample enhanced annotation		NC350 line
SAMEA3999604	ENA Crop Plant sample enhanced annotation		NC350 line
SAMEA3999605	ENA Crop Plant sample enhanced annotation		NC350 line
SAMEA3999606	ENA Crop Plant sample enhanced annotation		NC350 line
SAMEA3999607	ENA Crop Plant sample enhanced annotation		NC358 line
SAMEA3999608	ENA Crop Plant sample enhanced annotation		NC358 line
SAMEA3999609	ENA Crop Plant sample enhanced annotation		NC358 line
SAMEA3999610	ENA Crop Plant sample enhanced annotation		NC358 line
SAMEA3999611	ENA Crop Plant sample enhanced annotation		Oh43 line
SAMEA3999612	ENA Crop Plant sample enhanced annotation		Oh43 line
SAMEA3999613	ENA Crop Plant sample enhanced annotation		Oh43 line
SAMEA3999614	ENA Crop Plant sample enhanced annotation		Oh43 line
SAMEA3999615	ENA Crop Plant sample enhanced annotation		Oh7B line
SAMEA3999616	ENA Crop Plant sample enhanced annotation		Oh7B line
SAMEA3999617	ENA Crop Plant sample enhanced annotation		Oh7B line
SAMEA3999618	ENA Crop Plant sample enhanced annotation		Oh7B line
SAMEA3999619	ENA Crop Plant sample enhanced annotation		P39 line
SAMEA3999620	ENA Crop Plant sample enhanced annotation		P39 line
SAMEA3999621	ENA Crop Plant sample enhanced annotation		P39 line
SAMEA3999622	ENA Crop Plant sample enhanced annotation		P39 line
SAMEA3999623	ENA Crop Plant sample enhanced annotation		Tx303 line
SAMEA3999624	ENA Crop Plant sample enhanced annotation		Tx303 line
SAMEA3999625	ENA Crop Plant sample enhanced annotation		Tx303 line
SAMEA3999626	ENA Crop Plant sample enhanced annotation		Tx303 line
SAMEA3999627	ENA Crop Plant sample enhanced annotation		Tzi8 line
SAMEA3999628	ENA Crop Plant sample enhanced annotation		Tzi8 line
SAMEA3999629	ENA Crop Plant sample enhanced annotation		Tzi8 line
SAMEA3999630	ENA Crop Plant sample enhanced annotation		Tzi8 line
