sid	tissue	genotype	treatment	raw_fastq
A01	leaf_2	B73	rep1_day9_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A01_1_9_B73_Control_11_2_CAGCGT_R1.fastq.gz
A02	leaf_2	B73	rep1_day10_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A02_1_10_B73_Control_4_2_TCAGGA_R1.fastq.gz
A03	leaf_2	B73	rep1_day9_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A03_1_9_B73_Cold_4_2_TCTTAA_R1.fastq.gz
A04	leaf_2	B73	rep1_day11_11am_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A04_1_11_B73_Cold_11_2_TTTATG_R1.fastq.gz
A05	leaf_2	B73	rep1_day12_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A05_1_12_B73_Control_4_2_AGATAG_R1.fastq.gz
A06	leaf_2	B73	rep1_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A06_1_15_B73_Control_4_2_CTCTCG_R1.fastq.gz
A07	leaf_3	B73	rep1_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A07_1_15_B73_Control_4_3_GTGCCA_R1.fastq.gz
A08	leaf_2	B73	rep3_day9_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A08_3_9_B73_Control_11_2_AGTACT_R1.fastq.gz
A09	leaf_2	B73	rep1_day11_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A09_1_11_B73_Cold_4_2_AAGCTC_R1.fastq.gz
A10	leaf_2	B73	rep3_day11_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A10_3_11_B73_Control_11_2_GACATC_R1.fastq.gz
A11	leaf_2	B73	rep3_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A11_3_11_B73_Control_4_2_GCAGCC_R1.fastq.gz
A12	leaf_2	B73	rep3_day9_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_A12_3_9_B73_Cold_4_2_CGCGGA_R1.fastq.gz
B01	leaf_2	B73	rep2_day9_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B01_2_9_B73_Control_11_2_GATCAC_R1.fastq.gz
B02	leaf_2	B73	rep2_day10_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B02_2_10_B73_Control_4_2_CGGTTA_R1.fastq.gz
B03	leaf_2	B73	rep2_day9_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B03_2_9_B73_Cold_4_2_GTCAGG_R1.fastq.gz
B04	leaf_2	B73	rep2_day11_11am_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B04_2_11_B73_Cold_11_2_AACGCC_R1.fastq.gz
B05	leaf_2	B73	rep2_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B05_2_12_B73_Control_4_2_TTGGTA_R1.fastq.gz
B06	leaf_2	B73	rep2_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B06_2_15_B73_Control_4_2_TGACAC_R1.fastq.gz
B07	leaf_3	B73	rep2_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B07_2_15_B73_Control_4_3_TCGAGG_R1.fastq.gz
B08	leaf_2	Mo17	rep3_day9_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B08_3_9_Mo17_Control_11_2_ATAAGA_R1.fastq.gz
B09	leaf_2	B73	rep2_day11_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B09_2_11_B73_Cold_4_2_GACGAT_R1.fastq.gz
B10	leaf_2	Mo17	rep3_day11_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B10_3_11_Mo17_Control_11_2_CGATCT_R1.fastq.gz
B11	leaf_2	Mo17	rep3_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B11_3_11_Mo17_Control_4_2_ACTCTT_R1.fastq.gz
B12	leaf_2	Mo17	rep3_day9_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_B12_3_9_Mo17_Cold_4_2_CCTGCT_R1.fastq.gz
C01	leaf_2	Mo17	rep1_day9_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C01_1_9_Mo17_Control_11_2_ACCAGT_R1.fastq.gz
C02	leaf_2	Mo17	rep1_day10_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C02_1_10_Mo17_Control_4_2_TTAACT_R1.fastq.gz
C03	leaf_2	Mo17	rep1_day9_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C03_1_9_Mo17_Cold_4_2_ATACTG_R1.fastq.gz
C04	leaf_2	Mo17	rep1_day11_11am_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C04_1_11_Mo17_Cold_11_2_CAAGCA_R1.fastq.gz
C05	leaf_2	Mo17	rep1_day12_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C05_1_12_Mo17_Control_4_2_GTTACC_R1.fastq.gz
C06	leaf_2	Mo17	rep1_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C06_1_15_Mo17_Control_4_2_AAGACA_R1.fastq.gz
C07	leaf_3	Mo17	rep1_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C07_1_15_Mo17_Control_4_3_CACTAA_R1.fastq.gz
C08	leaf_2	B73	rep3_day9_12pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C08_3_9_B73_Control_12_2_GGTGAG_R1.fastq.gz
C09	leaf_2	Mo17	rep1_day11_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C09_1_11_Mo17_Cold_4_2_TCGTTC_R1.fastq.gz
C10	leaf_2	B73	rep3_day11_11am_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C10_3_11_B73_Cold_11_2_CGTCGC_R1.fastq.gz
C11	leaf_2	B73	rep3_day11_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C11_3_11_B73_Cold_4_2_TGCTAT_R1.fastq.gz
C12	leaf_2	B73	rep3_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_C12_3_15_B73_Control_4_2_GCGCTG_R1.fastq.gz
D01	leaf_2	Mo17	rep2_day9_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D01_2_9_Mo17_Control_11_2_TGCACG_R1.fastq.gz
D02	leaf_2	Mo17	rep2_day10_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D02_2_10_Mo17_Control_4_2_ATGAAC_R1.fastq.gz
D03	leaf_2	Mo17	rep2_day9_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D03_2_9_Mo17_Cold_4_2_TATGTC_R1.fastq.gz
D04	leaf_2	Mo17	rep2_day11_11am_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D04_2_11_Mo17_Cold_11_2_GCTCGA_R1.fastq.gz
D05	leaf_2	Mo17	rep2_day12_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D05_2_12_Mo17_Control_4_2_CGCAAC_R1.fastq.gz
D06	leaf_2	Mo17	rep2_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D06_2_15_Mo17_Control_4_2_ACAGAT_R1.fastq.gz
D07	leaf_3	Mo17	rep2_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D07_2_15_Mo17_Control_4_3_GGTATA_R1.fastq.gz
D08	leaf_2	B73	rep3_day9_12pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D08_3_9_B73_Cold_12_2_TTCCGC_R1.fastq.gz
D09	leaf_2	Mo17	rep2_day11_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D09_2_11_Mo17_Cold_4_2_CCAATT_R1.fastq.gz
D10	leaf_2	Mo17	rep3_day11_11am_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D10_3_11_Mo17_Cold_11_2_ATGGCG_R1.fastq.gz
D11	leaf_2	Mo17	rep3_day11_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D11_3_11_Mo17_Cold_4_2_AAGTGG_R1.fastq.gz
D12	leaf_2	Mo17	rep3_day15_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_D12_3_15_Mo17_Control_4__GAACCT_R1.fastq.gz
E01	leaf_2	B73	rep1_day9_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E01_1_9_B73_Control_4_2_ACATTA_R1.fastq.gz
E02	leaf_2	B73	rep1_day10_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E02_1_10_B73_Cold_4_2_CCTAAG_R1.fastq.gz
E03	leaf_2	B73	rep3_day10_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E03_3_10_B73_Control_4_2_GAGTCC_R1.fastq.gz
E04	leaf_2	B73	rep1_day11_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E04_1_11_B73_Control_4_2_GCGAAT_R1.fastq.gz
E05	leaf_2	B73	rep1_day12_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E05_1_12_B73_Cold_4_2_TGGCGA_R1.fastq.gz
E06	leaf_2	B73	rep1_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E06_1_15_B73_Cold_4_2_TAGGCT_R1.fastq.gz
E07	leaf_3	B73	rep1_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E07_1_15_B73_Cold_4_3_CGCCTG_R1.fastq.gz
E08	leaf_2	B73	rep3_day9_2pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E08_3_9_B73_Control_2_2_GAAGTG_R1.fastq.gz
E09	leaf_2	B73	rep1_day11_11am_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E09_1_11_B73_Control_11_2_AGTTGA_R1.fastq.gz
E10	leaf_2	B73	rep3_day11_12pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E10_3_11_B73_Control_12_2_ATTGGT_R1.fastq.gz
E11	leaf_2	B73	rep3_day12_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E11_3_12_B73_Control_4_2_CTCATA_R1.fastq.gz
E12	leaf_2	B73	rep3_day15_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_E12_3_15_B73_Cold_4_2_TTCGAG_R1.fastq.gz
F01	leaf_2	B73	rep2_day9_4pm_control	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F01_2_9_B73_Control_4_2_GTGTAG_R1.fastq.gz
F02	leaf_2	B73	rep2_day10_4pm_cold	9479_8598_73905_HMJ3HBGX5_Enders_0218_RNA_F02_2_10_B73_Cold_4_2_AATCCG_R1.fastq.gz
