SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
BR001	blade_v12	B73	NA	1	9456463	9367415	80085	6666	2297	9367415	0	0	8190371	7668441	5677136	6095391	809036	729008	514180	571518	368008	86751	0	0	75459	68126	54893	60948	11292	7503875	2102027	801440	51160	368008
BR002	blade_v12	B73	NA	2	10614657	10530486	74553	7292	2326	10530486	0	0	9279268	8752650	6482572	6897832	910820	824946	580490	642095	340398	81845	0	0	72144	65706	52458	57747	9701	8573172	2127697	893334	65307	340398
BR003	blade_v12	Mo17	NA	1	9456508	9374216	72991	7132	2169	9374216	0	0	9115166	8573666	8145530	8660543	129256	115237	103382	116154	129794	80123	0	0	75498	68500	62718	69178	4625	7752427	1883348	820099	90447	129794
BR004	blade_v12	B73	NA	3	10983851	10894598	78702	7779	2772	10894598	0	0	9533024	8936126	6609738	7085526	944592	850389	593967	660301	416982	86481	0	0	75497	68256	54445	60416	10984	8644701	2458061	1030323	61661	416982
BR005	blade_v12	Mo17	NA	2	9878003	9791778	77153	6660	2412	9791778	0	0	9490081	8893428	8452254	9019574	129070	115239	103492	116094	172627	83813	0	0	78924	71567	65664	72446	4889	8069205	2027026	869893	54079	172627
BR006	blade_v12	B73xMo17	NA	1	13109236	13005210	90620	8470	4936	13005210	0	0	11672176	10583875	9040893	10016048	628074	558183	412894	466682	704960	99090	0	0	86689	75287	65144	75157	12401	9663212	4101015	1240290	158139	704960
BR007	blade_v12	Mo17	NA	3	10136440	10049207	76991	7381	2861	10049207	0	0	7142652	4392720	4174199	6765280	110685	74680	68014	101902	2795870	84372	0	0	56487	32956	30167	51599	27885	3808172	9467207	619722	13884	2795870
BR008	blade_v12	B73xMo17	NA	2	9958057	9762863	181164	8252	5778	9762863	0	0	8508100	7752337	6585043	7258930	482906	427230	315383	357923	771857	189416	0	0	100860	88217	77005	88293	88556	7135919	2835902	956482	52549	771857
BR009	blade_v12	B73xMo17	NA	3	10368573	10283237	75572	7064	2700	10283237	0	0	9467146	8814611	7520389	8097502	494965	442034	327587	367535	321126	82636	0	0	75095	67383	57852	64608	7541	8229867	2435858	913297	75649	321126
BR010	auricle_v12	B73	NA	1	12161908	12062687	87438	7850	3933	12062687	0	0	10464183	9873282	7306865	7779949	1050295	963721	665841	725536	548209	95288	0	0	82130	74639	59838	65996	13158	9568741	2327428	1112846	99729	548209
