SampleID	Tissue	Genotype	Treatment	Replicate	paired	picked	spots	avgLength
s01	root	B73		1	FALSE	N	7226801	49.1370022503733
s02	root	B73		2	FALSE	N	5663024	49.1166899522234
s03	shoot	B73		1	FALSE	N	11111236	49.11876563507426
s04	shoot	B73		2	FALSE	N	7062416	49.02443738799867
s05	root	Mo17		1	FALSE	N	13697357	49.05657171671878
s06	root	Mo17		2	FALSE	N	11925108	49.008557322919
s07	shoot	Mo17		1	FALSE	N	9871904	48.798118073271375
s08	shoot	Mo17		2	FALSE	N	16304719	48.974331419020466
s09	root	B73		1	FALSE	N	20936567	101
s10	root	B73		2	FALSE	N	14707271	101
s11	root	B73		3	FALSE	N	17685126	101
s12	shoot	B73		1	FALSE	Y	10886920	101
s13	shoot	B73		2	FALSE	N	9878541	101
s14	shoot	B73		3	FALSE	Y	6924845	101
s15	shoot	B73		4	FALSE	Y	9780343	101
s16	root	Mo17		1	FALSE	Y	16748850	101
s17	root	Mo17		2	FALSE	Y	14428886	101
s18	root	Mo17		3	FALSE	Y	22244212	101
s19	shoot	Mo17		1	FALSE	Y	19937007	101
s20	shoot	Mo17		2	FALSE	Y	13973479	101
s21	shoot	Mo17		3	FALSE	Y	10702516	101
s22	root	B73xMo17		1	FALSE	N	23109668	101
s23	root	B73xMo17		2	FALSE	Y	23505619	101
s24	root	B73xMo17		3	FALSE	Y	12036826	101
s25	root	B73xMo17		4	FALSE	Y	13679675	101
s26	shoot	Mo17	cold_control	1	FALSE	N	15242013	101
s27	shoot	Mo17	cold_control	2	FALSE	N	17948118	101
s28	shoot	Mo17	cold_control	3	FALSE	N	16489597	101
s29	root	Mo17	cold	1	FALSE	Y	13989629	101
s30	root	Mo17	cold	2	FALSE	Y	21579816	101
s31	root	Mo17	cold	3	FALSE	Y	18861200	101
s32	shoot	B73	cold_control	1	FALSE	N	18863198	101
s33	shoot	B73	cold_control	2	FALSE	N	14639620	101
s34	shoot	B73	cold_control	3	FALSE	N	11140510	101
s35	root	B73	cold_control	1	FALSE	N	17680920	101
s36	root	B73	cold_control	2	FALSE	N	14928287	101
s37	root	B73	cold_control	3	FALSE	N	31337377	101
s38	root	B73	cold	1	FALSE	N	14451595	101
s39	root	B73	cold	2	FALSE	N	15676702	101
s40	root	B73	cold	3	FALSE	N	21896120	101
s41	shoot	B73	cold	1	FALSE	N	14125832	101
s42	shoot	B73	cold	2	FALSE	N	15789382	101
s43	shoot	B73	cold	3	FALSE	N	19109488	101
s44	shoot	Mo17	cold	1	FALSE	N	17099776	101
s45	shoot	Mo17	cold	2	FALSE	N	14262343	101
s46	shoot	Mo17	cold	3	FALSE	N	3033549	101
s47	root	Mo17	cold_control	1	FALSE	N	11549924	101
s48	root	Mo17	cold_control	2	FALSE	N	10174346	101
s49	root	Mo17	cold_control	3	FALSE	N	7793938	101
s50	shoot	B73	drought	1	FALSE	N	5177231	101
s51	shoot	B73	drought	2	FALSE	N	5909711	101
s52	shoot	Mo17	drought	1	FALSE	N	5493035	101
s53	shoot	Mo17	drought	2	FALSE	N	4768383	101
s54	shoot	Mo17	drought	3	FALSE	N	7050652	101
s55	shoot	Mo17	drought_control	1	FALSE	N	4486790	101
s56	shoot	Mo17	drought_control	2	FALSE	N	5517448	101
s57	shoot	B73	drought_control	1	FALSE	N	4574663	101
s58	root	B73	drought	1	FALSE	N	7471220	101
s59	shoot	B73	AMG	1	FALSE	N	3593659	101
